nombre,año,uva,maridaje,origen,precio_usd
Barolo Riserva,2016,Nebbiolo,"Carnes rojas, caza",Italia,90.18
Château Margaux,2015,Cabernet Sauvignon,"Cordero, quesos curados",Francia,100.12
Vega Sicilia Único,2012,Tempranillo,"Carne de res, jamón ibérico",España,299.96
Opus One,2018,Cabernet Sauvignon,"Filete, costillas",Estados Unidos,276.32
Penfolds Grange,2017,Shiraz,"Carne asada, estofados",Australia,156.54
Sassicaia,2019,Cabernet Sauvignon,"Cordero, pasta con carne",Italia,127.09
Cloudy Bay Sauvignon Blanc,2022,Sauvignon Blanc,"Mariscos, ensaladas",Nueva Zelanda,172.07
Dom Pérignon,2013,Chardonnay y Pinot Noir,"Caviar, ostras",Francia,22.51
Almaviva,2020,Cabernet Sauvignon,Carnes a la parrilla,Chile,167.24
Catena Zapata Adrianna,2018,Malbec,"Carnes asadas, quesos fuertes",Argentina,39.95
Chablis Grand Cru,2021,Chardonnay,"Pescados blancos, mariscos",Francia,217.06
Rioja Gran Reserva,2014,Tempranillo,"Cordero asado, embutidos",España,85.96
Clos Apalta,2019,Carmenère,"Platos especiados, carnes",Chile,72.95
Brunello di Montalcino,2016,Sangiovese,"Carnes rojas, pasta con ragú",Italia,238.86
Gewürztraminer Alsace,2020,Gewürztraminer,"Comida asiática, quesos",Francia,289.54
Tokaji Aszú,2013,Furmint,"Postres, foie gras",Hungría,270.38
Zinfandel Old Vine,2019,Zinfandel,"BBQ, hamburguesas",Estados Unidos,90.45
Marlborough Pinot Noir,2021,Pinot Noir,"Pato, salmón",Nueva Zelanda,170.72
Mosel Riesling Spätlese,2021,Riesling,"Comida picante, cerdo",Alemania,278.86
Rosado de Provence,2022,Grenache y Cinsault,"Ensaladas, aperitivos",Francia,193.47
